id,name,model_name,price,price_currency,body_type,source,location,drive,mileage,mileage_unit,color,year_of_manufacture,annual_insurance,torque,cylinders,fuel_type,aspiration,engine_size,transmission,horse_power,seat_material,number_of_seats,heated_seats,air_conditioning,trimming,infotainment_system,phone_connectivity,auto_start_and_stop,keyless_entry_and_push_button_start,steering_mounted_paddle_shifts,urban_consumption,fuel_tank_capacity,highway_consumption,lane_assist,reverse_camera,adaptive_cruise_control,standard_cruise_control,antilock_braking_system,automatic_brake_hold_system,tyre_pressure_monitoring_system,number_of_airbags,gps_tracker
7593,Nissan March,March,829999,KES,Hatchback,Kenyan Used,Nairobi,2WD,97736,KM,Grey,2017,34000,105,4,Petrol,Natural,1200,Automatic,78,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,FALSE,TRUE,FALSE,18,41,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
7592,Toyota Landcruiser 200 series (4.6L V8),Landcruiser 200 series,5499999,KES,SUV,Kenyan Used,Nairobi,4WD,94000,KM,Black,2011,220000,450,8,Petrol,Natural,4600,Automatic,314,Leather,7,TRUE,Multi Zone,Wood,Touchscreen Infotainment,TRUE,FALSE,TRUE,TRUE,6,93,8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,TRUE
7591,Subaru Levorg,Levorg,1667499,KES,Station Wagon,Kenyan Used,Nairobi,AWD,99459,KM,Black,2014,66700,400,4,Petrol,Turbo/Supercharger,2000,Automatic,300,Semi Leather,5,FALSE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,FALSE,FALSE,TRUE,10,60,12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
7590,Volkswagen Golf Variant 1.4,Golf Variant,1749999,KES,Estate,Kenyan Used,Nairobi,2WD,174000,KM,White,2016,840000,250,4,Petrol,Turbo/Supercharger,1400,Automatic,150,Leather,5,FALSE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,FALSE,TRUE,TRUE,18,50,20,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6,TRUE
7589,Mitsubishi Galant,Galant,489999,KES,Saloon,Kenyan Used,Nairobi,2WD,191833,KM,White,1998,20000,195,4,Petrol,,2000,Automatic,155,Fabric,5,FALSE,Dual Zone,,,FALSE,FALSE,FALSE,FALSE,10,60,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
7588,Peugeot 308 GT Line,308,2149999,KES,Hatchback,Foreign Used,Nairobi,2WD,124526,KM,Grey,2017,90000,370,4,Diesel,Turbo/Supercharger,2000,Automatic,150,Semi Leather,5,TRUE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,FALSE,TRUE,TRUE,16,53,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9,TRUE
7587,Mercedes Benz E200,E200,4599999,KES,Saloon,Kenyan Used,Nairobi,2WD,64598,KM,Black,2016,185000,300,4,Petrol,Turbo/Supercharger,2000,Automatic,184,Leather,5,TRUE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,FALSE,TRUE,TRUE,14,59,16,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,TRUE
7586,Mercedes Benz C200,C200,3499999,KES,Saloon,Kenyan Used,Nairobi,2WD,42694,KM,Grey,2016,140000,270,4,Petrol,Turbo/Supercharger,2000,Automatic,189,Leather,5,TRUE,Dual Zone,Wood,Touchscreen Infotainment,TRUE,FALSE,TRUE,FALSE,11,60,13,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
7585,Lexus LX 570,Lx570,11999999,KES,SUV,Kenyan Used,Nairobi,4WD,59019,KM,Black,2017,504000,403,8,Petrol,Natural,5700,Automatic,383,Leather,7,TRUE,Multi Zone,Wood,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,6,93,8.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,TRUE
7584,Toyota Ractis,Ractis,549999,KES,Hatchback,Kenyan Used,Nairobi.,2WD,153246,KM,Grey,2009,22000,137,4,Petrol,Natural,1500,Automatic,110,Fabric,5,FALSE,Dual Zone,Plastic,Android Auto,TRUE,FALSE,FALSE,FALSE,14,,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE
