Date,Orders
01/12/2002,4300
01/01/2003,7200
01/02/2003,5700
01/03/2003,6100
01/04/2003,7100
01/05/2003,5800
01/06/2003,5900
01/07/2003,8300
01/08/2003,7800
01/09/2003,8200
01/10/2003,6200
01/11/2003,5700
01/12/2003,9100
01/01/2004,8500
01/02/2004,7500
01/03/2004,8300
01/04/2004,6300
01/05/2004,7300
01/06/2004,7000
01/07/2004,10000
01/08/2004,8200
01/09/2004,10400
01/10/2004,8000
01/11/2004,10200
01/12/2004,10000
01/01/2005,10400
01/02/2005,10300
01/03/2005,9000
01/04/2005,10100
01/05/2005,11900
01/06/2005,9800
01/07/2005,9500
01/08/2005,9600
01/09/2005,10100
01/10/2005,10700
01/11/2005,9600
01/12/2005,12800
01/01/2006,12400
01/02/2006,12100
01/03/2006,12000
01/04/2006,10100
01/05/2006,12400
01/06/2006,11500
01/07/2006,14900
01/08/2006,17700
01/09/2006,14500
01/10/2006,17200
01/11/2006,21200
01/12/2006,17500
01/01/2007,16900
01/02/2007,12200
01/03/2007,15700
01/04/2007,12700
01/05/2007,13800
01/06/2007,14100
01/07/2007,15900
01/08/2007,18000
01/09/2007,13800
01/10/2007,15900
01/11/2007,14600
01/12/2007,11100
01/01/2008,14900
01/02/2008,13000
01/03/2008,15400
01/04/2008,15300
01/05/2008,15800
01/06/2008,12400
01/07/2008,14900
01/08/2008,18400
01/09/2008,16100
01/10/2008,15500
01/11/2008,16900
01/12/2008,12500
01/01/2009,18200
01/02/2009,14600
01/03/2009,14200
01/04/2009,14700
01/05/2009,13300
01/06/2009,13400
01/07/2009,15900
01/08/2009,15200
01/09/2009,14200
01/10/2009,25900
01/11/2009,17400
01/12/2009,17400
01/01/2010,17700
01/02/2010,19000
01/03/2010,20300
01/04/2010,15200
01/05/2010,17900
01/06/2010,17400
01/07/2010,20600
01/08/2010,22200
01/09/2010,16800
01/10/2010,18800
01/11/2010,19200
01/12/2010,18600
01/01/2011,20900
01/02/2011,21400
01/03/2011,22300
01/04/2011,24874
01/05/2011,21321
01/06/2011,21734
01/07/2011,24109
01/08/2011,25589
01/09/2011,25405
01/10/2011,25326
01/11/2011,31356
01/12/2011,21794
01/01/2012,26838
01/02/2012,24878
01/03/2012,24909
01/04/2012,25425
01/05/2012,24250
01/06/2012,26719
01/07/2012,28590
01/08/2012,26043
01/09/2012,20173
01/10/2012,26778
01/11/2012,26361
01/12/2012,22367
01/01/2013,22902
01/02/2013,24838
01/03/2013,25086
01/04/2013,29204
01/05/2013,23156
01/06/2013,27317
01/07/2013,26073
01/08/2013,23100
01/09/2013,21112
01/10/2013,23283
01/11/2013,24299
01/12/2013,25052
01/01/2014,31726
01/02/2014,31840
01/03/2014,31025
01/04/2014,23211
01/05/2014,22200
01/06/2014,26554
01/07/2014,26938
01/08/2014,26846
01/09/2014,23539
01/10/2014,33861
01/11/2014,25290
01/12/2014,26581
01/01/2015,28506
01/02/2015,25230
01/03/2015,37037
01/04/2015,28119
01/05/2015,37323
01/06/2015,25906
01/07/2015,31245
01/08/2015,22525
01/09/2015,33128
01/10/2015,24795
01/11/2015,40490
01/12/2015,23407
01/01/2016,32385
01/02/2016,31411
01/03/2016,50040
01/04/2016,30705
01/05/2016,31011
01/06/2016,28571
01/07/2016,29693
01/08/2016,34594
01/09/2016,40709
01/10/2016,37641
01/11/2016,42250
01/12/2016,30160
01/01/2017,28524
01/02/2017,34623
01/03/2017,37235
01/04/2017,31794
01/05/2017,30843
01/06/2017,28288
01/07/2017,27309
01/08/2017,22112
01/09/2017,25620
01/10/2017,16637
01/11/2017,18595
01/12/2017,19323
01/01/2018,24283
01/02/2018,22792
01/03/2018,23735
01/04/2018,27259
01/05/2018,32233
01/06/2018,20063
01/07/2018,36452
01/08/2018,39646
01/09/2018,26587
01/10/2018,19719
01/11/2018,20787
01/12/2018,19404
01/01/2019,19476
01/02/2019,29918
01/03/2019,30730
01/04/2019,25171
01/05/2019,25841
01/06/2019,27371
01/07/2019,19097
01/08/2019,26620
01/09/2019,17691
01/10/2019,29855
01/11/2019,24558
01/12/2019,21205
01/01/2020,17097
01/02/2020,23382
01/03/2020,25062
01/04/2020,21170
01/05/2020,18395
01/06/2020,19539
01/07/2020,23414
01/08/2020,20228
01/09/2020,20667
01/10/2020,18438
01/11/2020,19099
01/12/2020,25646
01/01/2021,21637
01/02/2021,25775
01/03/2021,22990
01/04/2021,25523
01/05/2021,22070
01/06/2021,23871
01/07/2021,24399
01/08/2021,23118
01/09/2021,22528
01/10/2021,20334
01/11/2021,21493
01/12/2021,23893
01/01/2022,22625
01/02/2022,23071
01/03/2022,24300
01/04/2022,23955
01/05/2022,22036
01/06/2022,24924
01/07/2022,28296
01/08/2022,20478
01/09/2022,19958
01/10/2022,20099
01/11/2022,21095
01/12/2022,23801
01/01/2023,23941
01/02/2023,23836
01/03/2023,20007
01/04/2023,19107
01/05/2023,19993
01/06/2023,24690
01/07/2023,24303
01/08/2023,19586
01/09/2023,24576
01/10/2023,20253
01/11/2023,25285
