Date, Revenue 
01/12/2002,4300000
01/01/2003,7200000
01/02/2003,5700000
01/03/2003,6100000
01/04/2003,7100000
01/05/2003,5800000
01/06/2003,5900000
01/07/2003,8300000
01/08/2003,7800000
01/09/2003,8200000
01/10/2003,6200000
01/11/2003,5700000
01/12/2003,9100000
01/01/2004,8500000
01/02/2004,7500000
01/03/2004,8300000
01/04/2004,6300000
01/05/2004,7300000
01/06/2004,7000000
01/07/2004,10000000
01/08/2004,8200000
01/09/2004,10400000
01/10/2004,8000000
01/11/2004,10200000
01/12/2004,10000000
01/01/2005,10400000
01/02/2005,10300000
01/03/2005,9000000
01/04/2005,10100000
01/05/2005,11900000
01/06/2005,9800000
01/07/2005,9500000
01/08/2005,9600000
01/09/2005,10100000
01/10/2005,10700000
01/11/2005,9600000
01/12/2005,12800000
01/01/2006,12400000
01/02/2006,12100000
01/03/2006,12000000
01/04/2006,10100000
01/05/2006,12400000
01/06/2006,11500000
01/07/2006,14900000
01/08/2006,17700000
01/09/2006,14500000
01/10/2006,17200000
01/11/2006,21200000
01/12/2006,17500000
01/01/2007,16900000
01/02/2007,12200000
01/03/2007,15700000
01/04/2007,12700000
01/05/2007,13800000
01/06/2007,14100000
01/07/2007,15900000
01/08/2007,18000000
01/09/2007,13800000
01/10/2007,15900000
01/11/2007,14600000
01/12/2007,11100000
01/01/2008,14900000
01/02/2008,13000000
01/03/2008,15400000
01/04/2008,15300000
01/05/2008,15800000
01/06/2008,12400000
01/07/2008,14900000
01/08/2008,18400000
01/09/2008,16100000
01/10/2008,15500000
01/11/2008,16900000
01/12/2008,12500000
01/01/2009,18200000
01/02/2009,14600000
01/03/2009,14200000
01/04/2009,14700000
01/05/2009,13300000
01/06/2009,13400000
01/07/2009,15900000
01/08/2009,15200000
01/09/2009,14200000
01/10/2009,25900000
01/11/2009,17400000
01/12/2009,17400000
01/01/2010,17700000
01/02/2010,19000000
01/03/2010,20300000
01/04/2010,15200000
01/05/2010,17900000
01/06/2010,17400000
01/07/2010,20600000
01/08/2010,22200000
01/09/2010,16800000
01/10/2010,18800000
01/11/2010,19200000
01/12/2010,18600000
01/01/2011,20900000
01/02/2011,21400000
01/03/2011,22300000
01/04/2011,24874000
01/05/2011,21321000
01/06/2011,21734000
01/07/2011,24109000
01/08/2011,25589000
01/09/2011,25405000
01/10/2011,25326000
01/11/2011,31356000
01/12/2011,21794000
01/01/2012,26838491
01/02/2012,24877590
01/03/2012,24908940
01/04/2012,25424597
01/05/2012,24250019
01/06/2012,26718856
01/07/2012,28589924
01/08/2012,26043400
01/09/2012,20173000
01/10/2012,26778000
01/11/2012,26361000
01/12/2012,22367216
01/01/2013,22902101
01/02/2013,24837940
01/03/2013,25085952
01/04/2013,29204168
01/05/2013,23156026
01/06/2013,27317421
01/07/2013,26072656
01/08/2013,23099662
01/09/2013,21112426
01/10/2013,23282704
01/11/2013,24298612
01/12/2013,25051567
01/01/2014,31726327
01/02/2014,31839780
01/03/2014,31025440
01/04/2014,23211470
01/05/2014,22199815
01/06/2014,26554353
01/07/2014,26938375
01/08/2014,26846082
01/09/2014,23539021
01/10/2014,33860934
01/11/2014,25289674
01/12/2014,26580668
01/01/2015,28506264
01/02/2015,25229846
01/03/2015,37037418
01/04/2015,28119117
01/05/2015,37322780
01/06/2015,25906329
01/07/2015,31245395
01/08/2015,22524912
01/09/2015,33127634
01/10/2015,24794540
01/11/2015,40490226
01/12/2015,23407459
01/01/2016,32384788
01/02/2016,31411455
01/03/2016,50040489
01/04/2016,30704967
01/05/2016,31011465
01/06/2016,28571110
01/07/2016,29693033
01/08/2016,34593844
01/09/2016,40709000
01/10/2016,37641246
01/11/2016,42250000
01/12/2016,30160000
01/01/2017,28524354
01/02/2017,34622760
01/03/2017,37234936
01/04/2017,31794440
01/05/2017,30843386
01/06/2017,28288012
01/07/2017,27308902
01/08/2017,22111648
01/09/2017,25619651
01/10/2017,16637141
01/11/2017,18594785
01/12/2017,19323054
01/01/2018,24283358
01/02/2018,22792271
01/03/2018,23734808
01/04/2018,27259000
01/05/2018,32232945
01/06/2018,20062565
01/07/2018,36452070
01/08/2018,39645617
01/09/2018,26587247
01/10/2018,19718818
01/11/2018,20786977
01/12/2018,19404000
01/01/2019,19476347
01/02/2019,29917729
01/03/2019,30730079
01/04/2019,25171442
01/05/2019,25840728
01/06/2019,27371095
01/07/2019,19097160
01/08/2019,26619657
01/09/2019,17691187
01/10/2019,29854813
01/11/2019,24558477
01/12/2019,21205107
01/01/2020,17097471
01/02/2020,23382329
01/03/2020,25062117
01/04/2020,21170145
01/05/2020,18394676
01/06/2020,19539359
01/07/2020,23414187
01/08/2020,20228074
01/09/2020,20666537
01/10/2020,18437908
01/11/2020,19099050
01/12/2020,25646495
01/01/2021,21636579
01/02/2021,25775352
01/03/2021,22990210
01/04/2021,25523200
01/05/2021,22070208
01/06/2021,23870844
01/07/2021,24398837
01/08/2021,23117664
01/09/2021,22527690
01/10/2021,20334393
01/11/2021,21493236
01/12/2021,23893048
01/01/2022,22625056
01/02/2022,23070827
01/03/2022,24300198
01/04/2022,23955337
01/05/2022,22035923
01/06/2022,24923915
01/07/2022,28295609
01/08/2022,20477607
01/09/2022,19957703
01/10/2022,20099252
01/11/2022,21094775
01/12/2022,23800538
01/01/2023,23940982
01/02/2023,23836038
01/03/2023,20006804
01/04/2023,19107110
01/05/2023,19993278
01/06/2023,24690452
01/07/2023,24302886
01/08/2023,19586002
01/09/2023,24576162
01/10/2023,20253000
01/11/2023,25285000
